[2023-11-28T13:24:14.733+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL_Pipeline.transform_data scheduled__2023-11-27T00:00:00+00:00 [queued]>
[2023-11-28T13:24:14.741+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL_Pipeline.transform_data scheduled__2023-11-27T00:00:00+00:00 [queued]>
[2023-11-28T13:24:14.741+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 2
[2023-11-28T13:24:14.754+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): transform_data> on 2023-11-27 00:00:00+00:00
[2023-11-28T13:24:14.761+0000] {standard_task_runner.py:57} INFO - Started process 6762 to run task
[2023-11-28T13:24:14.764+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'ETL_Pipeline', 'transform_data', 'scheduled__2023-11-27T00:00:00+00:00', '--job-id', '523', '--raw', '--subdir', 'DAGS_FOLDER/ETL_Pipeline.py', '--cfg-path', '/tmp/tmps2vtm4o8']
[2023-11-28T13:24:14.766+0000] {standard_task_runner.py:85} INFO - Job 523: Subtask transform_data
[2023-11-28T13:24:14.805+0000] {task_command.py:416} INFO - Running <TaskInstance: ETL_Pipeline.transform_data scheduled__2023-11-27T00:00:00+00:00 [running]> on host 4012deabc79b
[2023-11-28T13:24:14.877+0000] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ETL_Pipeline' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2023-11-27T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2023-11-27T00:00:00+00:00'
[2023-11-28T13:24:14.884+0000] {logging_mixin.py:154} WARNING - Scraping Progress:   0%|          | 0/669 [00:00<?, ?it/s]
[2023-11-28T13:55:12.116+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /sports/cricket/1ifeb9z9do (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e1c0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/sports/cricket/1ifeb9z9do
[2023-11-28T13:55:12.117+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /world/z8bvx97x04 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e370>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/world/z8bvx97x04
[2023-11-28T13:55:12.119+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /bangladesh/district/p9nz72tnn4 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e1c0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/bangladesh/district/p9nz72tnn4
[2023-11-28T13:55:12.120+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /photo/international/ik2e7ot6ni (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e370>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/photo/international/ik2e7ot6ni
[2023-11-28T13:55:12.121+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /business/corporate/sczqfk9cvj (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e970>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/business/corporate/sczqfk9cvj
[2023-11-28T13:55:12.123+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /sports/football/z2t95r67pz (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e1c0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/sports/football/z2t95r67pz
[2023-11-28T13:55:12.124+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /bangladesh/fsjkuwsbbc (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e370>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/bangladesh/fsjkuwsbbc
[2023-11-28T13:55:12.126+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /bangladesh/district/gkh8ethzva (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e970>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/bangladesh/district/gkh8ethzva
[2023-11-28T13:55:12.127+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /bangladesh/district/eytj7sv3wg (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e1c0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/bangladesh/district/eytj7sv3wg
[2023-11-28T13:55:12.129+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /entertainment/hollywood/6ozx8tqgkg (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e370>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/entertainment/hollywood/6ozx8tqgkg
[2023-11-28T13:55:12.131+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /bangladesh/district/nuo0tdbqf4 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e970>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/bangladesh/district/nuo0tdbqf4
[2023-11-28T13:55:12.133+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.bondhushava.com', port=443): Max retries exceeded with url: /writings/9qz0znqqe3 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e1c0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.bondhushava.com/writings/9qz0znqqe3
[2023-11-28T13:55:12.135+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /sports/cricket/flwu7vv75o (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e370>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/sports/cricket/flwu7vv75o
[2023-11-28T13:55:12.137+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /bangladesh/environment/ob6vl49ffp (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e970>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/bangladesh/environment/ob6vl49ffp
[2023-11-28T13:55:12.139+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /bangladesh/district/nssqykr7y6 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e1c0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/bangladesh/district/nssqykr7y6
[2023-11-28T13:55:12.141+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /politics/38pv1xol3g (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e370>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/politics/38pv1xol3g
[2023-11-28T13:55:12.143+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /politics/s7isdogwjo (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e970>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/politics/s7isdogwjo
[2023-11-28T13:55:12.145+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /world/middle-east/70qdhz2mn0 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e1c0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/world/middle-east/70qdhz2mn0
[2023-11-28T13:55:12.147+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /bangladesh/district/ab7ip7agnm (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e370>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/bangladesh/district/ab7ip7agnm
[2023-11-28T13:55:12.148+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /bangladesh/district/4pqvqeavsp (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e970>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/bangladesh/district/4pqvqeavsp
[2023-11-28T13:55:12.150+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /poll/sadpz209wy (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e1c0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/poll/sadpz209wy
[2023-11-28T13:55:12.152+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /opinion/letter/ftv243zlmp (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e370>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/opinion/letter/ftv243zlmp
[2023-11-28T13:55:12.154+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /sports/football/s8m7o6fdkk (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e970>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/sports/football/s8m7o6fdkk
[2023-11-28T13:55:12.156+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /video/2q6lhuztuw (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e1c0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/video/2q6lhuztuw
[2023-11-28T13:55:12.158+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /bangladesh/district/3282nkvbut (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e370>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/bangladesh/district/3282nkvbut
[2023-11-28T13:55:12.159+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /bangladesh/district/1nk4sreo1q (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e970>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/bangladesh/district/1nk4sreo1q
[2023-11-28T13:55:12.161+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /technology/cyberworld/w6ebe4a9iq (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e1c0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/technology/cyberworld/w6ebe4a9iq
[2023-11-28T13:55:12.163+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /entertainment/dhallywood/62hogvkru4 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e370>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/entertainment/dhallywood/62hogvkru4
[2023-11-28T13:55:12.165+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /sports/oh9jaa7lt2 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e970>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/sports/oh9jaa7lt2
[2023-11-28T13:55:12.167+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /opinion/column/jgaxjdl5wq (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e1c0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/opinion/column/jgaxjdl5wq
[2023-11-28T13:55:12.169+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /technology/cyberworld/o6r48x0hed (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e370>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/technology/cyberworld/o6r48x0hed
[2023-11-28T13:55:12.171+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='nagorik.prothomalo.com', port=443): Max retries exceeded with url: /durporobash/au4tbdups4 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e970>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://nagorik.prothomalo.com/durporobash/au4tbdups4
[2023-11-28T13:55:12.173+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /chakri/employment/cartry6z4s (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e1c0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/chakri/employment/cartry6z4s
[2023-11-28T13:55:12.174+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.bondhushava.com', port=443): Max retries exceeded with url: /writings/pvz4dw2k6q (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e370>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.bondhushava.com/writings/pvz4dw2k6q
[2023-11-28T13:55:12.175+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /bangladesh/ptp2nxtj4q (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e970>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/bangladesh/ptp2nxtj4q
[2023-11-28T13:55:12.177+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /politics/tjcwey7olw (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e1c0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/politics/tjcwey7olw
[2023-11-28T13:55:12.178+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /bangladesh/crime/wmldx0qlfm (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e370>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/bangladesh/crime/wmldx0qlfm
[2023-11-28T13:55:12.180+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /bangladesh/crime/dtjmkqkrar (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e970>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/bangladesh/crime/dtjmkqkrar
[2023-11-28T13:55:12.181+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /bangladesh/5p3uqecwhm (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e1c0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/bangladesh/5p3uqecwhm
[2023-11-28T13:55:12.182+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /sports/cricket/z3ye913ydb (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e370>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/sports/cricket/z3ye913ydb
[2023-11-28T13:55:12.184+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /politics/2vaggdox84 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e970>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/politics/2vaggdox84
[2023-11-28T13:55:12.185+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /world/europe/mijvuovkr2 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e1c0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/world/europe/mijvuovkr2
[2023-11-28T13:55:12.187+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /bangladesh/district/q6yq6mdcg2 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e370>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/bangladesh/district/q6yq6mdcg2
